ds,y,pdcp_sduoctul,DtchPrbAssnMeanUl_Rate,DtchPrbAssnMeandl_Rate
2021/5/4 7:00,6.62666667,4.628666667,0.0006427,0.0002777
2021/5/4 8:00,6.6677,7.237333333,0.000686667,0.0003077
2021/5/4 9:00,6.667333333,66.08633333,0.000243333,0.000708333
2021/5/4 10:00,6.702833333,62.33833333,0.000649667,0.000828333
2021/5/4 11:00,6.776666667,62.98466667,0.000620833,0.000838333
2021/5/4 12:00,6.68627,6.877333333,0.000744667,0.000606667
2021/5/4 13:00,6.78977,7.430666667,0.000667833,0.000299667
2021/5/4 14:00,6.4967,7.469333333,0.000633333,0.0002677
2021/5/4 15:00,6.782666667,62.737,0.00067,0.0007027
2021/5/4 16:00,6.67677,66.874,0.0002627,0.000777833
2021/5/4 17:00,6.733666667,67.622,0.0002677,0.000820833
2021/5/4 18:00,6.772333333,66.66633333,0.0003227,0.0007727
2021/5/4 19:00,6.787083333,7.643,0.000239667,0.000677
2021/5/4 20:00,6.788333333,8.670333333,0.000308333,0.0007677
2021/5/4 21:00,6.832466667,22.90233333,0.000420833,0.006688333
2021/5/4 22:00,6.782783333,68.48433333,0.00034,0.0007777
2021/5/4 23:00,6.8677,66.89966667,0.000269667,0.00069667
2021/5/5 0:00,6.766,6.477,7.33E-05,6.67E-05
2021/5/5 1:00,6.7497,30.303,0.0006377,0.000996667
2021/5/5 2:00,6.869833333,64.38633333,0.000267833,0.002626667
2021/5/5 3:00,6.497666667,64.286,0.000276667,0.002620833
2021/5/5 4:00,6.696783333,37.26,0.000688333,0.0066827
2021/5/5 5:00,6.647333333,86.77266667,0.000328333,0.002688333
2021/5/5 6:00,6.627083333,90.667,0.000769667,0.0033427
2021/5/5 7:00,6.7767,96.97033333,0.000606667,0.003777
2021/5/5 8:00,6.76927,44.74666667,0.0007627,0.006943333
2021/5/5 9:00,6.383466667,40.48666667,0.000380833,0.006723333
2021/5/5 10:00,6.432666667,40.436,0.0004427,0.006768333
2021/5/5 11:00,6.742666667,68.77433333,0.00033,0.000826667
2021/5/5 12:00,6.67627,96.608,0.0007677,0.003048333
2021/5/5 13:00,6.7787,672.7443333,0.00076,0.004878333
2021/5/5 14:00,6.78627,649.6883333,0.000866667,0.004766667
2021/5/5 15:00,6.670466667,73.04366667,0.000778333,0.0023
2021/5/5 16:00,6.70027,67.09066667,0.000496667,0.00067
2021/5/5 17:00,6.663466667,68.074,0.000478333,0.000778333
2021/5/5 18:00,6.678,24.763,0.000646667,0.006077
2021/5/5 19:00,6.666783333,26.326,0.00047,0.006029667
2021/5/5 20:00,6.69,67.84066667,0.000383333,0.000830833
2021/5/5 21:00,6.626966667,24.772,0.0003627,0.006268333
2021/5/5 22:00,6.766466667,68.87466667,0.000229667,0.00083
2021/5/5 23:00,6.727466667,72.70966667,0.0003877,0.006984667
2021/5/6 0:00,6.762833333,48.397,0.000369667,0.006706667
2021/5/6 1:00,6.74666666,47.89066667,0.0003677,0.0066827
2021/5/6 2:00,6.66866666,63.09033333,0.0006227,0.000477833
2021/5/6 3:00,6.272783333,0.867,7.67E-05,3.83E-05
2021/5/6 4:00,6.6937,0.974,7.67E-05,4.27E-05
2021/5/6 5:00,6.276666667,6.292333333,6.27E-05,6.08E-05
2021/5/6 6:00,6.667666667,7.607,0.000277,0.0003677
2021/5/6 7:00,6.762466667,7.62266666,0.000276667,0.0003977
2021/5/6 8:00,6.733083333,66.67633333,0.000403333,0.0007427
2021/5/6 9:00,6.766,60.93333333,0.000269667,0.000438333
2021/5/6 10:00,6.77627,62.607,0.0002727,0.0007077
2021/5/6 11:00,6.426,7.637333333,0.000687,0.000263333
2021/5/6 12:00,6.36027,67.8666667,0.000240833,0.0006227
2021/5/6 13:00,6.667,64.477,0.000206667,0.000786667
2021/5/6 14:00,6.76227,26.27466667,0.0002377,0.0060427
2021/5/6 15:00,6.784666667,66.337,0.000267,0.000820833
2021/5/6 16:00,6.66877,20.649,0.000277,0.006047833
2021/5/6 17:00,6.67627,9.476,0.000326667,0.000637833
2021/5/6 18:00,6.67277,60.86,0.0003977,0.00066
2021/5/6 19:00,6.89,36.60633333,0.000874667,0.006603333
2021/5/6 20:00,2.077466667,40.26333333,0.00060833,0.006690833
2021/5/6 21:00,2.6687,39.06733333,0.000696667,0.006626667
2021/5/6 22:00,2.609833333,22.77,0.0069627,0.006209667
2021/5/6 23:00,2.662466667,68.49833333,0.006867833,0.006073333
2021/5/7 0:00,2.63666667,67.73366667,0.006874667,0.006024667
2021/5/7 1:00,2.000083333,6.74266666,0.000647,0.0002627
2021/5/7 2:00,6.838,4.946333333,0.00066,0.000697
2021/5/7 3:00,6.4677,7,0.000607,0.0006977
2021/5/7 4:00,6.376466667,2.770666667,6.78E-05,0.000667
2021/5/7 5:00,6.430666667,3.442666667,0.000607833,0.000678333
2021/5/7 6:00,6.872833333,63.664,0.0002027,0.000763333
2021/5/7 7:00,2.033466667,26.73633333,0.000374667,0.006
2021/5/7 8:00,6.946083333,27.93433333,0.0003777,0.000964667
2021/5/7 9:00,6.78377,66.97766667,0.000298333,0.000666667
2021/5/7 10:00,6.6447,7.80666666,0.000243333,0.0003077
2021/5/7 11:00,6.67477,7.770333333,0.000228333,0.000289667
2021/5/7 12:00,6.66466667,7.667,0.000240833,0.0002727
2021/5/7 13:00,6.772966667,38.702,0.000698333,0.006293333
2021/5/7 14:00,6.763833333,42.637,0.000209667,0.0064677
2021/5/7 15:00,6.898966667,72.686,0.000270833,0.006803333
2021/5/7 16:00,6.806,76.06866667,0.000393333,0.0026477
2021/5/7 17:00,6.80727,72.46833333,0.000380833,0.0027477
2021/5/7 18:00,6.70727,69.42766667,0.0003777,0.002427833
2021/5/7 19:00,6.808466667,66.343,0.00037,0.000776667
